"stockId","brand","modelNumber","serialNumber","condition","boxIncluded","papersIncluded","notes","wholesalePriceUSD","paperDate","dialType","braceletType","braceletLinkCount","primaryImage","image2","image3","image4","image5","enableOffers","enableOrders","minimumOffer","shippingMethod","paymentMethod"
"16607","Cartier","WB520009","303277637RX","Pre-owned","false","false","","19000","","Roman Numerals","Satin","","https://swissmadecorp.com/images/cartier-baignoire-33x44mm-wb520009-18k-white-gold-womens-watch-23346.jpg","","","","","false","false","","",""
"16648","Rolex","79173","K480321","Pre-owned","false","false","","","2001","Roman Numerals","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-26mm-79173-18k-yellow-goldstainless-steel-womens-watch-dvrlgbZCZL.jpg","","","","","false","false","","",""
"16678","Rolex","278274","Q5J85905","New (old stock)","true","false","","13000","2020","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-datejust-31mm-278274-stainless-steel-unisex-watch-T9VVVezPMv.jpg","","","","","false","false","","",""
"16679","Rolex","69178","L258349","Pre-owned","false","false","","13500","1991","Non-Numeric Hour Marks","President","","https://swissmadecorp.com/images/rolex-president-26mm-69178-18k-yellow-gold-womens-watch-rS9yeBeMvl.jpg","","","","","false","false","","",""
"16746","Rolex","68273","8506472","Pre-owned","false","false","","7500","","Non-Numeric Hour Marks","18K Yellow Gold/Stainless Steel","","https://swissmadecorp.com/images/rolex-no-date-26-69173-stainless-steel-womens-watch-TCyz1qkziV.jpg","","","","","false","false","","",""
"16750","Rolex","116233","77S8W496","Pre-owned","false","false","","10500","2011-Present","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-36mm-116233-18k-yellow-goldstainless-steel-unisex-watch-35866.jpg","https://swissmadecorp.com/images/rolex-datejust-36mm-116233-18k-yellow-goldstainless-steel-unisex-watch-IlRqZIk2cR.jpg","https://swissmadecorp.com/images/rolex-datejust-36mm-116233-18k-yellow-goldstainless-steel-unisex-watch-xsXNvGSuYU.jpg","https://swissmadecorp.com/images/rolex-datejust-36mm-116233-18k-yellow-goldstainless-steel-unisex-watch-VXBV7MxE5s.jpg","https://swissmadecorp.com/images/rolex-datejust-36mm-116233-18k-yellow-goldstainless-steel-unisex-watch-Av5wuiFYb6.jpg","false","false","","",""
"16770","Rolex","69178","8709220","Pre-owned","false","false","","12500","","Non-Numeric Hour Marks","18K Yellow Gold","","https://swissmadecorp.com/images/rolex-datejust-26mm-69178-18k-yellow-gold-womens-watch-iez9MgjpvQ.jpg","","","","","false","false","","",""
"16773","Rolex","69178","R602816","Pre-owned","false","false","","10500","1988","Non-Numeric Hour Marks","18K Yellow Gold","","https://swissmadecorp.com/images/rolex-datejust-26mm-69178-18k-yellow-gold-womens-watch-SeGOUPNguA.jpg","","","","","false","false","","",""
"16777","Rolex","69178","8684123","Pre-owned","false","false","","12500","","Non-Numeric Hour Marks","18K Yellow Gold","","https://swissmadecorp.com/images/rolex-datejust-26mm-69178-18k-yellow-gold-womens-watch-uMUhsywlw4.jpg","","","","","false","false","","",""
"16792","Rolex","116520","Z427073","Pre-owned","false","false","","26000","2006-2007","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-daytona-116520-52090.jpg","","","","","false","false","","",""
"16796","Rolex","279383","0D6650KS","Pre-owned","false","true","","22000","2020","No Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-279383-67120.jpg","","","","","false","false","","",""
"16800","Rolex","68273","8719676","Pre-owned","false","false","","8500","","Roman Numerals","Jubilee","","https://swissmadecorp.com/images/rolex-date-26mm-69173-18k-yellow-goldstainless-steel-womens-watch-18466.jpg","https://swissmadecorp.com/images/rolex-date-26mm-69173-18k-yellow-goldstainless-steel-womens-watch-11129.jpg","https://swissmadecorp.com/images/rolex-date-26mm-69173-18k-yellow-goldstainless-steel-womens-watch-49259.jpg","","","false","false","","",""
"16801","Rolex","68273","N171626","Pre-owned","false","false","","7700","1991","Roman Numerals","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-36mm-16233-18k-yellow-goldstainless-steel-mens-watch-8Wj0CRcvgy.jpg","","","","","false","false","","",""
"16802","Rolex","16233","T312407","Pre-owned","false","false","","","1996","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-36mm-16233-18k-yellow-goldstainless-steel-mens-watch-LYtfopKKbj.jpg","","","","","false","false","","",""
"16820","Rolex","116243","R76R0790","Pre-owned","false","false","","15500","2011-Present","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-36mm-116243-18k-yellow-goldstainless-steel-unisex-watch-2RYO09lQkI.jpg","","","","","false","false","","",""
"16825","Rolex","6694","3402502","Pre-owned","false","false","","","","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-oyster-precision-date-34mm-6694-stainless-steel-mens-watch-ieQKxGkbkm.jpg","","","","","false","false","","",""
"16899","Hublot","341.SX.7717.NR.1977","277/500","Unworn","true","true","","11500","","Non-Numeric Hour Marks","Leather","","https://swissmadecorp.com/images/hublot-big-bang-snow-leopard-41mm-341sx7717nr1977-stainless-steel-unisex-watch-r7FaM0V6lj.jpg","","","","","false","false","","",""
"16930","Rolex","16613LB","E710959","Pre-owned","false","false","","11000","1990","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-submariner-16613t-26245.jpg","","","","","false","false","","",""
"16972","Hermes","HH1.571e","3200357","Pre-owned","false","false","","9500","","Arabic Numerals","Leather","","https://swissmadecorp.com/images/hermes-heure-h-30x35mm-hh1571e-18k-rose-gold-womens-watch-QDhuJjF6E1.jpg","https://swissmadecorp.com/images/hermes-heure-h-30x35mm-hh1571e-18k-rose-gold-womens-watch-nk6UB8SAqM.jpg","","","","false","false","","",""
"16976","Cartier","WE900651","3004101916QX","Pre-owned","false","false","","14500","","Roman Numerals","Leather","","https://swissmadecorp.com/images/cartier-ballon-bleu-36mm-we900651-18k-white-gold-womens-watch-kbEOXyvdNj.jpg","","","","","false","false","","",""
"16977","Hermes","HH4.273","3655430","Pre-owned","false","false","","13000","","No Hour Marks","Leather","","https://swissmadecorp.com/images/hermes-heure-215x30mm-hh4273-18k-rose-gold-womens-watch-adhootTYcq.jpg","","","","","false","false","","",""
"16991","Hermes","Me2.171","3145407","Pre-owned","false","false","","13500","","Non-Numeric Hour Marks","Leather","","https://swissmadecorp.com/images/hermes-vintage-18mm-me2171-18k-rose-gold-womens-watch-xwAdXW56lO.jpg","https://swissmadecorp.com/images/hermes-vintage-18mm-me2171-18k-rose-gold-womens-watch-JG8sDUwoFM.jpg","","","","false","false","","",""
"17024","Rolex","126603","T5U85363","Pre-owned","false","false","","16500","2011-Present","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-sea-dweller-126603-77170.jpg","","","","","false","false","","",""
"17060","Rolex","116400","M642422","Pre-owned","false","false","","9000","2008","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-milgauss-116400-12330.jpg","","","","","false","false","","",""
"17068","Rolex","116233","Z110508","Pre-owned","false","false","","10000","2006-2007","Roman Numerals","Oyster","","https://swissmadecorp.com/images/rolex-datejust-36mm-116233-i5ostX8XWX.jpg","","","","","false","false","","",""
"17070","Rolex","126233","4R780147","Pre-owned","true","true","","16000","2019","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-126233-80730.jpg","","","","","false","false","","",""
"17104","Hermes","W054799WW00 ","HH1.173A-3524013","Pre-owned","false","false","","10000","","No Hour Marks","Leather","","https://swissmadecorp.com/images/hermes-heure-h-172mm-w054799ww00-18k-rose-gold-womens-watch-1zdrbt3Rze.jpg","","","","","false","false","","",""
"17125","Rolex","6917","7350079","Pre-owned","false","false","","","","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-26mm-6917-stainless-steel-womens-watch-ZmQXIAXNkT.jpg","","","","","false","false","","",""
"17130","Rolex","179173","F899146","Pre-owned","false","true","","8600","2003-2005","Roman Numerals","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-27mm-179173-18k-yellow-goldstainless-steel-womens-watch-fPOFsics27.jpg","","","","","false","false","","",""
"17133","Rolex","16233","X367507","Pre-owned","false","false","","7000","1991","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-36mm-16233-18k-yellow-goldstainless-steel-mens-watch-LYtfopKKbj.jpg","","","","","false","false","","",""
"17134","Rolex","16233","E482787","Pre-owned","false","false","","7000","1990","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-36mm-16233-18k-yellow-goldstainless-steel-mens-watch-LYtfopKKbj.jpg","","","","","false","false","","",""
"17136","Rolex","68273","N165726","Pre-owned","false","false","","7700","1991","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-31mm-68273-18k-yellow-goldstainless-steel-womens-watch-Ve9k1X37L6.jpg","","","","","false","false","","",""
"17137","Rolex","76193","K282864","Pre-owned","false","false","","5500","2001","Arabic Numerals","Oyster","","https://swissmadecorp.com/images/rolex-oyster-perpetual-24mm-76193-18k-yellow-goldstainless-steel-womens-watch-HigkgQm2KP.jpg","","","","","false","false","","",""
"17140","Cartier","WE900651","3004104102RX","Pre-owned","false","false","","12500","","Roman Numerals","Leather","","https://swissmadecorp.com/images/cartier-ballon-bleu-36mm-we900651-18k-white-gold-womens-watch-075AhSjSWd.jpg","","","","","false","false","","",""
"17141","Rolex","16233","T217858","Pre-owned","false","false","","7000","1996","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-36mm-16233-18k-yellow-goldstainless-steel-mens-watch-8Wj0CRcvgy.jpg","","","","","false","false","","",""
"17144","Rolex","1003","2442534","Pre-owned","false","false","","10000","","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-oyster-perpetual-31mm-1003-14k-white-gold-womens-watch-4AE0v4nBGE.jpg","","","","","false","false","","",""
