id,title,description,link,image_link,availability,expiration_date,price,google_product_category,brand,MPN,identifier_exists,condition,age_group,color,gender,material,shipping,tax
15556,"Rolex GMT-Master II 40mm 16710 Stainless Steel Mens Watch","Pre-owned  Rolex GMTMaster II 40mm 16710 oyster strap, stainless steel bezel, on black face watch.",https://swissmadecorp.com/product-details/rolex-gmt-master-ii-16710-black-kazsz-91966,https://swissmadecorp.com/images/rolex-gmt-master-ii-40mm-16710-stainless-steel-mens-watch-FRRtxnolaP.jpg,in_stock,,"16995.00 USD",201,Rolex,16710,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
15694,"Rolex Datejust 31mm 178274 Stainless Steel Womens Watch","Pre-owned  Rolex Datejust 31mm 178274 jubilee strap, stainless steel bezel, on blue face watch.",https://swissmadecorp.com/product-details/rolex-datejust-178274-blue-erzs-84195,https://swissmadecorp.com/images/rolex-datejust-31mm-178274-stainless-steel-womens-watch-rcueaZZbVZ.jpg,in_stock,,"10815.00 USD",201,Rolex,178274,false,used,adult,Blue,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
15854,"Rolex Datejust 41mm 126333 18K Yellow Gold/Stainless Steel Mens Watch","Pre-owned  Rolex Datejust 41mm 126333 oyster strap, 18k yellow gold/stainless steel bezel, on black face watch.",https://swissmadecorp.com/product-details/rolex-datejust-126333-black-kixzs-29909,https://swissmadecorp.com/images/rolex-datejust-126333-29987.jpg,in_stock,,"16480.00 USD",201,Rolex,126333,false,used,adult,Black,female,"18K Yellow Gold/Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
15892,"Rolex GMT-Master II 40mm 16710 Stainless Steel Mens Watch","Pre-owned  Rolex GMTMaster II 40mm 16710 oyster strap, stainless steel bezel, on black face watch.",https://swissmadecorp.com/product-details/rolex-gmt-master-ii-16710-black-kzlar-60684,https://swissmadecorp.com/images/rolex-gmt-master-ii-40mm-16710-stainless-steel-mens-watch-FRRtxnolaP.jpg,in_stock,,"15450.00 USD",201,Rolex,16710,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
15902,"Rolex GMT-Master II 40mm 16710 Stainless Steel Mens Watch","Pre-owned  Rolex GMTMaster II 40mm 16710 oyster strap, stainless steel bezel, on black face watch.",https://swissmadecorp.com/product-details/rolex-gmt-master-ii-16710-black-kzlar-26089,https://swissmadecorp.com/images/rolex-gmt-master-ii-40mm-16710-stainless-steel-mens-watch-FRRtxnolaP.jpg,out_of_stock,2026-07-28T06:00-0400,"15450.00 USD",201,Rolex,16710,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
15924,"Rolex Sea Dweller Deep Sea 44mm 136660 Stainless Steel Mens Watch","Pre-owned  Rolex Sea Dweller Deep Sea 44mm 136660 stainless steel strap, stainless steel bezel, on blue black face watch.",https://swissmadecorp.com/product-details/rolex-sea-dweller-deep-sea-136660-blue-black-knzsz-92161,https://swissmadecorp.com/images/rolex-sea-dweller-deep-sea-126660-38781.jpg,in_stock,,"15965.00 USD",201,Rolex,136660,false,used,adult,"Blue Black",female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
15956,"Rolex Datejust 26mm 69178 18K Yellow Gold Womens Watch","Pre-owned  Rolex Datejust 26mm 69178 president strap, 18k yellow gold bezel, on champagne diamond face watch.",https://swissmadecorp.com/product-details/rolex-datejust-69178-champagne-diamond-ezsz-55479,https://swissmadecorp.com/images/rolex-datejust-26mm-69178-18k-yellow-gold-womens-watch-mnltvkv38v.jpg,in_stock,,"10815.00 USD",201,Rolex,69178,false,used,adult,"Champagne Diamond",female,"18K Yellow Gold","US:NY:Overnight:79.00 USD",US:NY:8.875:n
15983,"Rolex Datejust 26mm 69173 Stainless Steel Womens Watch","Pre-owned  Rolex Datejust 26mm 69173 jubilee strap, stainless steel bezel, on red face watch.",https://swissmadecorp.com/product-details/rolex-datejust-69173-red-gazs-46731,https://swissmadecorp.com/images/rolex-datejust-26mm-69173-stainless-steel-womens-watch-HTGT3u7UuL.jpg,in_stock,,"6695.00 USD",201,Rolex,69173,false,used,adult,Red,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
16017,"Rolex Datejust 29mm 69239 18K White Gold Womens Watch","Pre-owned  Rolex Datejust 29mm 69239 18k white gold strap, 18k white gold bezel, on mother of pearl face watch.",https://swissmadecorp.com/product-details/rolex-datejust-69239-mother-of-pearl-kzlzs-50623,https://swissmadecorp.com/images/rolex-datejust-29mm-69239-18k-white-gold-womens-watch-x5wiBqzAW9.jpg,in_stock,,"14420.00 USD",201,Rolex,69239,false,used,adult,"Mother of Pearl",female,"18K White Gold","US:NY:Overnight:79.00 USD",US:NY:8.875:n
16024,"Rolex Submariner 40mm 16613 18K Yellow Gold/Stainless Steel Mens Watch","Pre-owned  Rolex Submariner 40mm 16613 oyster strap, 18k yellow gold/stainless steel bezel, on blue face watch.",https://swissmadecorp.com/product-details/rolex-submariner-16613-blue-kazsz-83996,https://swissmadecorp.com/images/rolex-submariner-40mm-16613-18k-yellow-goldstainless-steel-mens-watch-TZiMISCN1O.jpg,in_stock,,"13390.00 USD",201,Rolex,16613,false,used,adult,Blue,female,"18K Yellow Gold/Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
