id,title,description,link,image_link,availability,price,google_product_category,brand,MPN,identifier_​exists,condition,age_group,color,gender,material,shipping,tax
11510,"Breitling Premier B01 Chronograph 42mm AB0118A61C1A1 Stainless Steel Mens Watch","New / Unworn Men's Breitling Premier B01 Chronograph 42mm AB0118A61C1A1 select material for this product strap, stainless steel bezel, on blue face watch. 11510",https://swissmadecorp.com/product-details/breitling-premier-b01-chronograph-ab0118a61c1a1-blue-graz-34426,https://swissmadecorp.com/images/breitling-premier-b01-chronograph-42mm-ab0118a61c1a1-stainless-steel-mens-watch-98954.jpg,"in stock","6562.00 USD",201,Rolex,AB0118A61C1A1,false,new,adult,Blue,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11511,"Breitling Premier B01 Chronograph 42mm AB0118A11L1A1 Stainless Steel Mens Watch","New / Unworn Men's Breitling Premier B01 Chronograph 42mm AB0118A11L1A1 stainless steel strap, stainless steel bezel, on green face watch. 11511",https://swissmadecorp.com/product-details/breitling-premier-b01-chronograph-ab0118a11l1a1-green-graz-97312,https://swissmadecorp.com/images/breitling-premier-b01-chronograph-ab0118a11l1a1-75642.jpg,"in stock","6562.00 USD",201,Rolex,AB0118A11L1A1,false,new,adult,Green,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11679,"Hublot Classic Fusion Chronograph 45mm 521.NX.1171.LR Titanium Mens Watch","Pre-owned Men's Hublot Classic Fusion Chronograph 45mm 521.NX.1171.LR rubber strap, titanium bezel, on black face watch. 11679",https://swissmadecorp.com/product-details/hublot-classic-fusion-chronograph-521-nx-1171-lr-black-grzs-91050,https://swissmadecorp.com/images/hublot-classic-fusion-chronograph-45mm-521nx1171lr-titanium-mens-watch-50904.jpg,"in stock","7210.00 USD",201,Rolex,521.NX.1171.LR,false,used,adult,Black,female,Titanium,"US:NY:Overnight:79.00 USD",US:NY:8.875:n
11737,"Rolex Datejust 31mm 278273 18K Yellow Gold/Stainless Steel Womens Watch","New / Unworn  Rolex Datejust 31mm 278273 jubilee strap, 18k yellow gold/stainless steel bezel, on dark grey diamond dial face watch. 11737",https://swissmadecorp.com/product-details/rolex-datejust-278273-olive-green-floral-motif-kgozs-60540,https://swissmadecorp.com/images/rolex-datejust-278273-58367.jpg,"in stock","16480.00 USD",201,Rolex,278273,false,new,adult,"Dark Grey Diamond Di",female,"18K Yellow Gold/Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11746,"Rolex Sky-Dweller 42mm 326934 Stainless Steel Mens Watch","New / Unworn Men's Rolex SkyDweller 42mm 326934 oyster strap, stainless steel bezel, on black face watch. 11746",https://swissmadecorp.com/product-details/rolex-sky-dweller-326934-black-izszs-40543,https://swissmadecorp.com/images/rolex-sky-dweller-326934-15525.jpg,"in stock","22660.00 USD",201,Rolex,326934,false,new,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11828,"Rolex GMT-MASTER II 40mm 16710 Stainless Steel Mens Watch","Pre-owned Men's Rolex GMTMASTER II 40mm 16710 oyster strap, stainless steel bezel, on black face watch. 11828",https://swissmadecorp.com/product-details/rolex-gmt-master-ii-16710-black-kzrzs-29900,https://swissmadecorp.com/images/rolex-gmt-master-ii-16710-99999.jpg,"in stock","16995.00 USD",201,Rolex,16710,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11834,"Rolex Submariner 40mm 5513 Stainless Steel Mens Watch","Pre-owned Men's Rolex Submariner 40mm 5513 oyster strap, stainless steel bezel, on black face watch. 11834",https://swissmadecorp.com/product-details/rolex-submariner-5513-black-knzrz-94587,https://swissmadecorp.com/images/rolex-submariner-5513-55343.jpg,"in stock","20240.00 USD",201,Rolex,5513,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11849,"Rolex Datejust 31mm 278240 Stainless Steel Unisex Watch","New / Unworn Unisex Rolex Datejust 31mm 278240 oyster strap, stainless steel bezel, on dark grey stick face watch. 11849",https://swissmadecorp.com/product-details/rolex-datejust-278240-dark-grey-stick-lzsz-44897,https://swissmadecorp.com/images/rolex-datejust-278240-59504.jpg,"in stock","9064.00 USD",201,Rolex,278240,false,new,adult,"Dark grey stick",female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11884,"Hublot Fusion 45mm 516.OX.1480.LR 18K Rose Gold Mens Watch","Pre-owned Men's Hublot Fusion 45mm 516.OX.1480.LR leather strap, 18k rose gold bezel, on black face watch. 11884",https://swissmadecorp.com/product-details/hublot-fusion-516-ox-1480-lr-black-kzszs-14073,https://swissmadecorp.com/images/hublot-fusion-516ox1480lr-67366.jpg,"in stock","15965.00 USD",201,Rolex,516.OX.1480.LR,false,used,adult,Black,female,"18K Rose Gold","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11940,"Rolex Daytona 40mm 16523 18K Yellow Gold/Stainless Steel Mens Watch","Pre-owned Men's Rolex Daytona 40mm 16523 oyster strap, 18k yellow gold/stainless steel bezel, on champagne face watch. 11940",https://swissmadecorp.com/product-details/rolex-daytona-16523-champagne-kgzsz-76098,https://swissmadecorp.com/images/rolex-daytona-16523-46687.jpg,"in stock","15965.00 USD",201,Rolex,16523,false,used,adult,Champagne,female,"18K Yellow Gold/Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
